"Date","Price","Open","High","Low","Vol.","Change %"
"08/19/2024","338.19","334.25","338.19","333.08","159.70K","1.20%"
"08/16/2024","334.19","332.54","334.99","332.17","135.96K","0.15%"
"08/15/2024","333.68","330.59","333.80","330.00","162.53K","2.06%"
"08/14/2024","326.95","326.60","327.87","323.92","136.97K","0.27%"
"08/13/2024","326.08","321.25","326.13","321.25","205.10K","2.23%"
"08/12/2024","318.97","318.46","320.52","316.99","140.84K","0.46%"
"08/09/2024","317.51","314.66","318.24","314.31","108.71K","0.70%"
"08/08/2024","315.30","311.42","315.78","308.36","166.36K","2.90%"
"08/07/2024","306.41","313.39","315.52","305.68","221.53K","-0.81%"
"08/06/2024","308.91","307.44","314.00","304.90","276.49K","1.17%"
"08/05/2024","305.34","296.58","310.35","295.84","549.21K","-3.37%"
"08/02/2024","316.00","316.53","318.89","312.31","279.34K","-2.09%"
"08/01/2024","322.73","330.80","333.33","320.35","214.36K","-1.98%"
"07/31/2024","329.26","327.31","330.49","326.13","144.23K","2.88%"
"07/30/2024","320.05","325.57","326.10","317.78","132.86K","-1.54%"
"07/29/2024","325.06","326.10","327.49","323.60","131.65K","0.21%"
"07/26/2024","324.37","323.86","326.32","322.45","116.10K","1.05%"
"07/25/2024","321.01","324.47","327.88","318.15","220.10K","-1.20%"
"07/24/2024","324.91","332.14","332.36","323.79","217.69K","-3.67%"
"07/23/2024","337.30","337.50","339.92","337.00","111.68K","0.01%"
"07/22/2024","337.27","335.90","338.03","334.40","164.88K","1.55%"
"07/19/2024","332.11","333.98","336.09","331.40","116.83K","-0.65%"
"07/18/2024","334.29","339.22","339.22","332.00","219.92K","-0.62%"
"07/17/2024","336.38","340.33","340.67","336.38","341.26K","-2.86%"
"07/16/2024","346.27","347.48","347.92","344.33","188.24K","-0.03%"
"07/15/2024","346.37","347.21","349.43","344.75","246.19K","0.40%"
"07/12/2024","345.00","343.23","348.05","343.00","189.16K","0.58%"
"07/11/2024","343.02","350.10","350.25","342.21","272.44K","-2.11%"
"07/10/2024","350.41","347.79","350.50","346.91","173.05K","1.12%"
"07/09/2024","346.54","347.16","348.09","345.56","164.57K","0.14%"
"07/08/2024","346.05","345.86","346.26","344.98","257.18K","0.16%"
"07/05/2024","345.51","342.27","345.68","342.27","222.28K","1.06%"
"07/03/2024","341.89","338.67","342.12","338.67","133.51K","0.80%"
"07/02/2024","339.19","334.53","339.19","334.53","173.39K","0.93%"
"07/01/2024","336.07","334.58","336.54","332.23","150.50K","0.79%"
"06/28/2024","333.45","336.93","339.26","333.45","135.33K","-0.99%"
"06/27/2024","336.80","335.95","337.50","335.23","106.85K","0.23%"
"06/26/2024","336.03","333.72","336.03","333.60","107.68K","0.44%"
"06/25/2024","334.56","331.40","334.56","330.79","114.64K","1.41%"
"06/24/2024","329.91","332.98","334.09","329.79","136.94K","-1.09%"
"06/21/2024","333.56","333.95","335.30","332.42","135.42K","-0.29%"
"06/20/2024","334.54","338.22","338.64","333.00","248.52K","-0.73%"
"06/18/2024","337.00","336.35","337.01","335.36","214.89K","0.25%"
"06/17/2024","336.16","333.04","337.71","332.17","174.12K","1.00%"
"06/14/2024","332.83","331.38","332.86","330.71","135.47K","0.31%"
"06/13/2024","331.79","332.39","332.86","329.80","158.54K","0.40%"
"06/12/2024","330.48","328.41","332.08","328.17","197.14K","1.60%"
"06/11/2024","325.29","321.85","325.29","320.71","133.39K","0.92%"
"06/10/2024","322.32","320.53","322.32","319.70","145.23K","0.56%"
"06/07/2024","320.53","320.63","322.64","319.88","105.89K","-0.14%"
"06/06/2024","320.99","321.82","322.38","319.85","128.37K","-0.03%"
"06/05/2024","321.10","317.22","321.10","316.79","116.76K","1.90%"
"06/04/2024","315.11","313.94","315.39","312.62","109.19K","0.31%"
"06/03/2024","314.14","314.55","314.79","310.50","173.10K","0.47%"
"05/31/2024","312.66","312.63","312.74","306.55","125.59K","0.22%"
"05/30/2024","311.97","315.00","315.08","310.76","127.44K","-1.52%"
"05/29/2024","316.79","315.43","317.69","315.43","108.01K","-0.40%"
"05/28/2024","318.06","317.21","318.10","315.94","140.54K","0.67%"
"05/24/2024","315.94","314.00","316.38","313.24","120.12K","0.82%"
"05/23/2024","313.36","317.00","317.26","311.83","122.57K","0.00%"
"05/22/2024","313.36","314.46","314.82","311.84","106.08K","-0.38%"
"05/21/2024","314.54","312.39","314.54","312.18","90.85K","0.32%"
"05/20/2024","313.53","311.44","313.82","311.44","116.44K","0.70%"
"05/17/2024","311.34","311.90","311.90","310.00","82.96K","0.01%"
"05/16/2024","311.32","312.69","313.55","311.12","121.01K","-0.47%"
"05/15/2024","312.79","309.00","312.79","308.73","134.17K","1.67%"
"05/14/2024","307.66","305.18","308.02","305.00","97.29K","0.61%"
"05/13/2024","305.78","306.53","306.53","304.60","92.62K","0.08%"
"05/10/2024","305.54","306.37","307.28","304.64","91.64K","0.02%"
"05/09/2024","305.48","304.70","305.60","303.66","79.47K","0.27%"
"05/08/2024","304.65","303.44","305.19","303.30","83.84K","-0.09%"
"05/07/2024","304.92","305.34","306.00","304.25","116.68K","0.02%"
"05/06/2024","304.86","301.82","304.86","301.41","142.69K","1.41%"
"05/03/2024","300.62","300.04","301.40","298.90","164.30K","1.83%"
"05/02/2024","295.21","294.26","295.66","291.29","94.52K","1.32%"
"05/01/2024","291.37","292.95","297.08","290.95","117.51K","-0.56%"
"04/30/2024","293.02","297.83","298.92","293.02","97.60K","-1.87%"
"04/29/2024","298.60","299.28","299.34","296.70","115.14K","0.35%"
"04/26/2024","297.56","296.64","298.88","295.43","116.56K","1.73%"
"04/25/2024","292.51","287.34","292.52","286.48","121.91K","-0.39%"
"04/24/2024","293.65","295.80","296.14","292.11","128.02K","0.04%"
"04/23/2024","293.54","290.70","293.92","290.20","129.40K","1.64%"
"04/22/2024","288.79","288.18","290.67","285.75","124.98K","0.89%"
"04/19/2024","286.24","291.75","292.13","285.24","218.59K","-2.37%"
"04/18/2024","293.20","294.73","295.96","292.26","112.79K","-0.37%"
"04/17/2024","294.29","298.85","298.99","293.65","129.86K","-0.94%"
"04/16/2024","297.08","297.11","298.57","296.28","136.74K","-0.01%"
"04/15/2024","297.11","304.80","304.88","296.84","179.17K","-1.76%"
"04/12/2024","302.43","304.17","305.12","301.39","142.45K","-1.41%"
"04/11/2024","306.75","303.07","307.26","301.91","96.83K","1.53%"
"04/10/2024","302.13","300.46","302.63","300.32","126.24K","-0.60%"
"04/09/2024","303.95","305.22","305.28","300.52","311.23K","-0.07%"
"04/08/2024","304.16","304.73","305.12","303.24","86.67K","0.02%"
"04/05/2024","304.11","301.04","305.30","300.79","104.57K","1.51%"
"04/04/2024","299.60","306.47","307.28","299.50","137.85K","-1.43%"
"04/03/2024","303.96","301.92","305.23","301.92","116.33K","0.28%"
"04/02/2024","303.11","301.96","303.11","300.70","124.99K","-0.66%"
"04/01/2024","305.13","305.28","306.76","303.86","128.56K","0.14%"
"03/28/2024","304.71","304.97","305.59","304.26","111.22K","-0.23%"
"03/27/2024","305.41","306.29","306.29","303.36","115.64K","0.24%"
"03/26/2024","304.68","307.04","307.18","304.38","121.83K","-0.38%"
"03/25/2024","305.83","305.56","306.78","304.70","103.95K","-0.33%"
"03/22/2024","306.83","306.23","307.77","305.75","106.01K","0.04%"
"03/21/2024","306.70","308.84","308.84","306.53","133.72K","0.17%"
"03/20/2024","306.19","303.47","306.31","302.32","161.90K","1.11%"
"03/19/2024","302.84","300.16","303.04","298.55","139.61K","0.57%"
"03/18/2024","301.12","301.98","303.61","300.86","105.88K","0.98%"
"03/15/2024","298.19","298.94","299.89","297.30","188.19K","-1.15%"
"03/14/2024","301.66","302.64","303.08","299.95","168.02K","0.13%"
"03/13/2024","301.26","302.46","302.68","300.46","230.58K","-0.44%"
"03/12/2024","302.60","299.11","302.92","297.17","167.67K","1.86%"
"03/11/2024","297.06","297.56","297.95","295.95","129.99K","-0.56%"
"03/08/2024","298.74","302.88","305.19","298.19","157.86K","-1.06%"
"03/07/2024","301.95","299.77","302.79","298.69","122.27K","1.43%"
"03/06/2024","297.69","298.67","299.24","296.48","137.78K","0.48%"
"03/05/2024","296.28","299.16","299.16","294.62","189.93K","-1.63%"
"03/04/2024","301.20","301.88","302.68","301.10","152.94K","-0.39%"
"03/01/2024","302.39","299.16","302.63","299.00","123.56K","1.35%"
"02/29/2024","298.36","297.56","299.35","295.93","135.60K","0.64%"
"02/28/2024","296.45","296.19","296.86","295.45","83.57K","-0.29%"
"02/27/2024","297.32","297.43","297.48","295.56","88.35K","0.18%"
"02/26/2024","296.80","298.23","298.84","296.80","128.80K","-0.31%"
"02/23/2024","297.71","299.54","300.37","296.79","157.37K","-0.16%"
"02/22/2024","298.18","295.00","298.56","294.82","143.08K","3.25%"
"02/21/2024","288.80","287.70","288.80","286.31","90.13K","-0.13%"
"02/20/2024","289.18","290.84","291.08","287.01","157.67K","-1.05%"
"02/16/2024","292.24","294.80","294.80","291.94","114.42K","-0.69%"
"02/15/2024","294.26","293.52","294.26","292.00","159.07K","0.14%"
"02/14/2024","293.85","292.51","294.10","290.88","148.97K","1.22%"
"02/13/2024","290.31","289.13","292.08","288.44","198.99K","-1.37%"
"02/12/2024","294.33","296.29","297.05","293.80","145.89K","-0.67%"
"02/09/2024","296.32","294.11","296.51","293.75","144.61K","1.12%"
"02/08/2024","293.04","292.96","293.48","292.71","104.96K","0.08%"
"02/07/2024","292.82","290.37","292.88","290.35","114.26K","1.33%"
"02/06/2024","288.97","289.89","290.08","287.15","118.53K","-0.06%"
"02/05/2024","289.13","289.35","289.87","286.97","120.70K","0.09%"
"02/02/2024","288.88","284.16","289.58","283.78","140.09K","2.11%"
"02/01/2024","282.91","280.19","282.93","280.00","123.33K","1.63%"
"01/31/2024","278.36","281.76","282.71","278.36","162.75K","-2.22%"
"01/30/2024","284.69","285.87","286.19","284.15","118.58K","-0.41%"
"01/29/2024","285.87","283.24","285.89","282.88","166.01K","1.12%"
"01/26/2024","282.71","282.93","284.10","282.48","87.35K","-0.26%"
"01/25/2024","283.45","283.64","284.76","282.00","98.54K","0.22%"
"01/24/2024","282.82","283.41","285.38","282.59","184.94K","0.58%"
"01/23/2024","281.18","280.72","281.30","279.69","167.64K","0.32%"
"01/22/2024","280.28","281.02","281.83","279.82","236.50K","0.16%"
"01/19/2024","279.82","276.65","279.82","275.86","170.49K","1.63%"
"01/18/2024","275.33","273.49","275.50","272.64","108.79K","1.41%"
"01/17/2024","271.50","270.89","271.55","269.00","130.99K","-0.50%"
"01/16/2024","272.86","272.23","273.88","271.45","113.61K","-0.04%"
"01/12/2024","272.98","273.06","273.73","272.00","78.73K","0.15%"
"01/11/2024","272.58","273.14","274.00","269.54","81.50K","0.21%"
"01/10/2024","272.02","269.66","272.46","269.66","145.81K","0.99%"
"01/09/2024","269.36","267.11","269.72","266.73","80.65K","0.28%"
"01/08/2024","268.60","263.83","268.60","263.83","113.76K","2.12%"
"01/05/2024","263.02","262.98","264.75","262.10","123.04K","0.04%"
"01/04/2024","262.92","263.56","265.32","262.67","126.39K","-0.53%"
"01/03/2024","264.32","264.84","265.72","263.93","120.24K","-0.84%"
"01/02/2024","266.55","268.23","268.66","264.85","158.83K","-1.57%"
